alpha,n,max_learning_steps,mean_penalty_last_window,normalized_cost
0.4,1,500,-467.73,0.93546
0.9,1,500,-429.52,0.85904
0.7,1,500,-445.24,0.89048
0.6,1,500,-451.58,0.90316
0.0,1,500,-494.32,0.98864
0.5,1,500,-453.04,0.90608
1.0,1,500,-376.62,0.75324
0.2,1,500,-479.31,0.95862
0.3,1,500,-479.04,0.95808
0.1,1,500,-493.07,0.98614
0.8,1,500,-423.0,0.846
0.2,2,500,-461.76,0.92352
0.3,2,500,-444.57,0.88914
1.0,2,500,-323.48,0.64696
0.4,2,500,-386.17,0.77234
0.7,2,500,-361.11,0.72222
0.1,2,500,-497.08,0.99416
0.6,2,500,-380.75,0.7615
0.0,2,500,-489.61,0.97922
0.8,2,500,-373.89,0.74778
0.9,2,500,-339.35,0.6787
0.5,2,500,-412.25,0.8245
0.2,4,500,-467.9,0.9358
0.4,4,500,-341.72,0.68344
0.3,4,500,-396.63,0.79326
0.1,4,500,-488.78,0.97756
0.5,4,500,-335.79,0.67158
0.7,4,500,-417.58,0.83516
0.6,4,500,-368.66,0.73732
0.9,4,500,-418.29,0.83658
0.8,4,500,-432.85,0.8657
0.0,4,500,-499.23,0.99846
1.0,4,500,-444.04,0.88808
0.4,8,500,-509.0,1.018
0.1,8,500,-509.0,1.018
0.0,8,500,-509.0,1.018
0.3,8,500,-509.0,1.018
0.2,8,500,-505.69,1.01138
0.6,8,500,-509.0,1.018
1.0,8,500,-505.94,1.01188
0.5,8,500,-509.0,1.018
0.9,8,500,-509.0,1.018
0.8,8,500,-509.0,1.018
0.7,8,500,-509.0,1.018
0.3,16,500,-517.0,1.034
0.1,16,500,-517.0,1.034
0.0,16,500,-516.81,1.03362
0.2,16,500,-498.56,0.99712
0.4,16,500,-515.06,1.03012
0.5,16,500,-515.95,1.0319
0.6,16,500,-517.0,1.034
0.8,16,500,-517.0,1.034
0.7,16,500,-517.0,1.034
0.9,16,500,-517.0,1.034
1.0,16,500,-517.0,1.034
0.3,32,500,-533.0,1.066
0.1,32,500,-533.0,1.066
0.0,32,500,-533.0,1.066
0.2,32,500,-529.92,1.05984
